Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
03-01-2022,17625.69922,17646.65039,17383.30078,17387.15039,200500
04-01-2022,17805.25,17827.59961,17593.55078,17681.40039,247400
05-01-2022,17925.25,17944.69922,17748.84961,17820.09961,251500
06-01-2022,17745.90039,17797.94922,17655.55078,17768.5,236500
07-01-2022,17812.69922,17905,17704.55078,17797.59961,239300
10-01-2022,18003.30078,18017.44922,17879.15039,17913.30078,232400
11-01-2022,18055.75,18081.25,17964.40039,17997.75,220200
12-01-2022,18212.34961,18227.94922,18128.80078,18170.40039,245000
13-01-2022,18257.80078,18272.25,18163.80078,18257,303700
14-01-2022,18255.75,18286.94922,18119.65039,18185,229500
17-01-2022,18308.09961,18321.55078,18228.75,18235.65039,266700
18-01-2022,18113.05078,18350.94922,18085.90039,18337.19922,227500
19-01-2022,17938.40039,18129.19922,17884.90039,18129.19922,276700
20-01-2022,17757,17943.69922,17648.44922,17921,258100
21-01-2022,17617.15039,17707.59961,17485.84961,17613.69922,277600
24-01-2022,17149.09961,17599.40039,16997.84961,17575.15039,323800
25-01-2022,17277.94922,17309.15039,16836.80078,17001.55078,326500
27-01-2022,17110.15039,17182.5,16866.75,17062,395600
28-01-2022,17101.94922,17373.5,17077.09961,17208.30078,355300
31-01-2022,17339.84961,17410,17264.15039,17301.05078,321700
01-02-2022,17576.84961,17622.40039,17244.55078,17529.44922,386400
02-02-2022,17780,17794.59961,17674.80078,17706.19922,271200
03-02-2022,17560.19922,17781.15039,17511.15039,17767.75,226600
04-02-2022,17516.30078,17617.80078,17462.55078,17590.19922,261400
07-02-2022,17213.59961,17536.75,17119.40039,17456.30078,265000
08-02-2022,17266.75,17306.44922,17043.65039,17279.84961,268500
09-02-2022,17463.80078,17477.15039,17339,17370.09961,236400
10-02-2022,17605.84961,17639.44922,17427.15039,17554.09961,273600
11-02-2022,17374.75,17454.75,17303,17451,253100
14-02-2022,16842.80078,17099.5,16809.65039,17076.15039,305500
15-02-2022,17352.44922,17375,16839.25,16933.25,298700
16-02-2022,17322.19922,17490.59961,17257.69922,17408.44922,244500
17-02-2022,17304.59961,17442.90039,17235.84961,17396.55078,232100
18-02-2022,17276.30078,17380.80078,17219.19922,17236.05078,189600
21-02-2022,17206.65039,17351.05078,17070.69922,17192.25,215200
22-02-2022,17092.19922,17148.55078,16843.80078,16847.94922,300100
23-02-2022,17063.25,17220.69922,17027.84961,17194.5,200200
24-02-2022,16247.9502,16705.25,16203.25,16548.90039,458000
25-02-2022,16658.40039,16748.80078,16478.30078,16515.65039,329800
28-02-2022,16793.90039,16815.90039,16356.2998,16481.59961,404200
02-03-2022,16605.94922,16678.5,16478.65039,16593.09961,517700
03-03-2022,16498.05078,16768.94922,16442.94922,16723.19922,442100
04-03-2022,16245.34961,16456,16133.7998,16339.4502,456100
07-03-2022,15863.15039,15944.59961,15711.4502,15867.9502,585400
08-03-2022,16013.4502,16028.75,15671.4502,15747.75,543600
09-03-2022,16345.34961,16418.05078,15990,16078,462200
10-03-2022,16594.90039,16757.30078,16447.90039,16757.09961,486400
11-03-2022,16630.44922,16694.40039,16470.90039,16528.80078,343700
14-03-2022,16871.30078,16887.94922,16606.5,16633.69922,314700
15-03-2022,16663,16927.75,16555,16900.65039,381600
16-03-2022,16975.34961,16987.90039,16837.84961,16876.65039,260000
17-03-2022,17287.05078,17344.59961,17175.75,17202.90039,448300
21-03-2022,17117.59961,17353.34961,17096.40039,17329.5,285500
22-03-2022,17315.5,17334.40039,17006.30078,17120.40039,338300
23-03-2022,17245.65039,17442.40039,17199.59961,17405.05078,292100
24-03-2022,17222.75,17291.75,17091.15039,17094.94922,290300
25-03-2022,17153,17294.90039,17076.55078,17289,237100
28-03-2022,17222,17235.09961,17003.90039,17181.84961,253200
29-03-2022,17325.30078,17343.65039,17235.69922,17297.19922,235100
30-03-2022,17498.25,17522.5,17387.19922,17468.15039,505000
31-03-2022,17464.75,17559.80078,17435.19922,17519.19922,281100
01-04-2022,17670.44922,17703.69922,17422.69922,17436.90039,291800
04-04-2022,18053.40039,18114.65039,17791.40039,17809.09961,345500
05-04-2022,17957.40039,18095.44922,17921.55078,18080.59961,283500
06-04-2022,17807.65039,17901,17779.84961,17842.75,328800
07-04-2022,17639.55078,17787.5,17623.69922,17723.30078,308800
08-04-2022,17784.34961,17842.75,17600.55078,17698.15039,274400
11-04-2022,17674.94922,17779.05078,17650.94922,17740.90039,251700
12-04-2022,17530.30078,17595.30078,17442.34961,17584.84961,266000
13-04-2022,17475.65039,17663.65039,17457.40039,17599.90039,245100
18-04-2022,17173.65039,17237.75,17067.84961,17183.44922,376100
19-04-2022,16958.65039,17275.65039,16824.69922,17258.94922,401400
20-04-2022,17136.55078,17186.90039,16978.94922,17045.25,286100
21-04-2022,17392.59961,17414.69922,17215.5,17234.59961,285200
22-04-2022,17171.94922,17315.30078,17149.19922,17242.75,262700
25-04-2022,16953.94922,17054.30078,16888.69922,17009.05078,275700
26-04-2022,17200.80078,17223.84961,17064.44922,17121.30078,261100
27-04-2022,17038.40039,17110.69922,16958.44922,17073.34961,265100
28-04-2022,17245.05078,17322.5,17071.05078,17189.5,312900
29-04-2022,17102.55078,17377.65039,17053.25,17329.25,336200
02-05-2022,17069.09961,17092.25,16917.25,16924.44922,278200
04-05-2022,16677.59961,17132.84961,16623.94922,17096.59961,310600
05-05-2022,16682.65039,16945.69922,16651.84961,16854.75,265800
06-05-2022,16411.25,16484.19922,16340.90039,16415.55078,300500
09-05-2022,16301.84961,16403.69922,16142.09961,16227.7002,288400
10-05-2022,16240.0498,16404.55078,16197.2998,16248.90039,283100
11-05-2022,16167.09961,16318.75,15992.59961,16270.0498,284300
12-05-2022,15808,16041.9502,15735.75,16021.09961,314900
13-05-2022,15782.15039,16083.59961,15740.84961,15977,369100
16-05-2022,15842.2998,15977.9502,15739.65039,15845.09961,217600
17-05-2022,16259.2998,16284.25,15900.7998,15912.59961,295700
18-05-2022,16240.2998,16399.80078,16211.2002,16318.15039,290400
19-05-2022,15809.40039,15984.75,15775.2002,15917.40039,313900
20-05-2022,16266.15039,16283.0498,16003.84961,16043.7998,252400
23-05-2022,16214.7002,16414.69922,16185.75,16290.9502,293800
24-05-2022,16125.15039,16262.7998,16078.59961,16225.5498,249800
25-05-2022,16025.7998,16223.34961,16006.9502,16196.34961,243300
26-05-2022,16170.15039,16204.4502,15903.7002,16105,314300
27-05-2022,16352.4502,16370.59961,16221.9502,16296.59961,274100
30-05-2022,16661.40039,16695.5,16506.15039,16527.90039,251400
31-05-2022,16584.55078,16690.75,16521.90039,16578.44922,651600
01-06-2022,16522.75,16649.19922,16438.84961,16594.40039,249600
02-06-2022,16628,16646.40039,16443.05078,16481.65039,236000
03-06-2022,16584.30078,16793.84961,16567.90039,16761.65039,245500
06-06-2022,16569.55078,16610.94922,16444.55078,16530.69922,233600
07-06-2022,16416.34961,16487.25,16347.09961,16469.59961,233800
08-06-2022,16356.25,16514.30078,16293.34961,16474.94922,243500
09-06-2022,16478.09961,16492.80078,16243.84961,16263.84961,205000
10-06-2022,16201.7998,16324.7002,16172.59961,16283.9502,189700
13-06-2022,15774.40039,15886.15039,15684,15877.5498,225500
14-06-2022,15732.09961,15858,15659.4502,15674.25,225400
15-06-2022,15692.15039,15783.65039,15678.90039,15729.25,183000
16-06-2022,15360.59961,15863.15039,15335.09961,15832.25,264700
17-06-2022,15293.5,15400.40039,15183.40039,15272.65039,342600
20-06-2022,15350.15039,15382.5,15191.09961,15334.5,260000
21-06-2022,15638.7998,15707.25,15419.84961,15455.9502,262800
22-06-2022,15413.2998,15565.40039,15385.9502,15545.65039,220900
23-06-2022,15556.65039,15628.4502,15367.5,15451.5498,259200
24-06-2022,15699.25,15749.25,15619.4502,15657.40039,219600
27-06-2022,15832.0498,15927.4502,15815.5,15926.2002,210900
28-06-2022,15850.2002,15892.09961,15710.15039,15757.4502,251900
29-06-2022,15799.09961,15861.59961,15687.7998,15701.7002,444900
30-06-2022,15780.25,15890,15728.84961,15774.5,306000
01-07-2022,15752.0498,15793.9502,15511.0498,15703.7002,364100
04-07-2022,15835.34961,15852.34961,15661.7998,15710.5,304300
05-07-2022,15810.84961,16025.75,15785.4502,15909.15039,254200
06-07-2022,15989.7998,16011.34961,15800.90039,15818.2002,288400
07-07-2022,16132.90039,16150.5,16045.9502,16113.75,264600
08-07-2022,16220.59961,16275.5,16157.90039,16273.65039,281100
11-07-2022,16216,16248.5498,16115.5,16136.15039,255900
12-07-2022,16058.2998,16158.75,16031.15039,16126.2002,208600
13-07-2022,15966.65039,16140,15950.15039,16128.2002,233300
14-07-2022,15938.65039,16070.84961,15858.2002,16018.84961,228600
15-07-2022,16049.2002,16066.9502,15927.2998,16010.7998,205800
18-07-2022,16278.5,16287.9502,16142.2002,16151.40039,227700
19-07-2022,16340.5498,16359.5,16187.0498,16187.0498,222600
20-07-2022,16520.84961,16588,16490.94922,16562.80078,284400
21-07-2022,16605.25,16626.94922,16483.90039,16523.55078,243600
22-07-2022,16719.44922,16752.25,16610.90039,16661.25,190900
25-07-2022,16631,16706.05078,16564.25,16662.55078,211400
26-07-2022,16483.84961,16636.09961,16463.30078,16632.90039,208200
27-07-2022,16641.80078,16653.44922,16438.75,16475.34961,185200
28-07-2022,16929.59961,16947.65039,16746.25,16774.84961,376300
29-07-2022,17158.25,17172.80078,17018.15039,17079.5,436100
01-08-2022,17340.05078,17356.25,17154.80078,17243.19922,381500
02-08-2022,17345.44922,17390.15039,17215.84961,17310.15039,333600
03-08-2022,17388.15039,17407.5,17225.84961,17349.25,285400
04-08-2022,17382,17490.69922,17161.25,17463.09961,325000
05-08-2022,17397.5,17474.40039,17348.75,17423.65039,355300
08-08-2022,17525.09961,17548.80078,17359.75,17401.5,257000
10-08-2022,17534.75,17566.09961,17442.80078,17566.09961,312700
11-08-2022,17659,17719.30078,17631.94922,17711.65039,311200
12-08-2022,17698.15039,17724.65039,17597.84961,17659.65039,303900
16-08-2022,17825.25,17839.09961,17764.05078,17797.19922,0
17-08-2022,17944.25,17965.94922,17833.34961,17868.15039,262800
18-08-2022,17956.5,17968.44922,17852.05078,17898.65039,263900
19-08-2022,17758.44922,17992.19922,17710.75,17966.55078,295600
22-08-2022,17490.69922,17690.05078,17467.34961,17682.90039,287600
23-08-2022,17577.5,17625.55078,17345.19922,17357.34961,285600
24-08-2022,17604.94922,17623.65039,17499.25,17525.44922,262000
25-08-2022,17522.44922,17726.5,17487.44922,17679,230200
26-08-2022,17558.90039,17685.84961,17519.34961,17619.30078,266600
29-08-2022,17312.90039,17380.15039,17166.19922,17188.65039,244900
30-08-2022,17759.30078,17777.65039,17401.5,17414.94922,324700
01-09-2022,17542.80078,17695.59961,17468.44922,17485.69922,308500
02-09-2022,17539.44922,17643.84961,17476.44922,17598.40039,256300
05-09-2022,17665.80078,17683.15039,17540.34961,17546.44922,230300
06-09-2022,17655.59961,17764.65039,17587.65039,17695.69922,251200
07-09-2022,17624.40039,17650.75,17484.30078,17519.40039,354100
08-09-2022,17798.75,17807.65039,17691.94922,17748.15039,279800
09-09-2022,17833.34961,17925.94922,17786,17923.34961,270300
12-09-2022,17936.34961,17980.55078,17889.15039,17890.84961,228200
13-09-2022,18070.05078,18088.30078,18015.44922,18044.44922,259900
14-09-2022,18003.75,18091.55078,17771.15039,17771.15039,365900
15-09-2022,17877.40039,18096.15039,17861.5,18046.34961,289600
16-09-2022,17530.84961,17820.05078,17497.25,17796.80078,468500
19-09-2022,17622.25,17667.19922,17429.69922,17540.65039,258300
20-09-2022,17816.25,17919.30078,17744.40039,17770.40039,263100
21-09-2022,17718.34961,17838.69922,17663.59961,17766.34961,245500
22-09-2022,17629.80078,17722.75,17532.44922,17609.65039,284100
23-09-2022,17327.34961,17642.15039,17291.65039,17593.84961,390800
26-09-2022,17016.30078,17196.40039,16978.30078,17156.30078,492000
27-09-2022,17007.40039,17176.44922,16942.34961,17110.90039,359900
28-09-2022,16858.59961,17037.59961,16820.40039,16870.55078,323900
29-09-2022,16818.09961,17026.05078,16788.59961,16993.59961,340000
30-09-2022,17094.34961,17187.09961,16747.69922,16798.05078,376100
03-10-2022,16887.34961,17114.65039,16855.55078,17102.09961,278400
04-10-2022,17274.30078,17287.30078,17117.30078,17147.44922,226000
06-10-2022,17331.80078,17428.80078,17315.65039,17379.25,265500
07-10-2022,17314.65039,17337.34961,17216.94922,17287.19922,216300
10-10-2022,17241,17280.15039,17064.69922,17094.34961,234000
11-10-2022,16983.55078,17261.80078,16950.30078,17256.05078,282600
12-10-2022,17123.59961,17142.34961,16960.05078,17025.55078,256000
13-10-2022,17014.34961,17112.34961,16956.94922,17087.34961,266400
14-10-2022,17185.69922,17348.55078,17169.75,17322.30078,227000
17-10-2022,17311.80078,17328.55078,17098.55078,17144.80078,212200
18-10-2022,17486.94922,17527.80078,17434.05078,17438.75,239500
19-10-2022,17512.25,17607.59961,17472.84961,17568.15039,210500
20-10-2022,17563.94922,17584.15039,17421,17423.09961,249600
21-10-2022,17576.30078,17670.15039,17520.75,17622.84961,277700
24-10-2022,17730.75,17777.55078,17707.40039,17736.34961,45000
25-10-2022,17656.34961,17811.5,17637,17808.30078,251400
27-10-2022,17736.94922,17783.90039,17654.5,17771.40039,324600
28-10-2022,17786.80078,17838.90039,17723.69922,17756.40039,250000
31-10-2022,18012.19922,18022.80078,17899.90039,17910.19922,227200
01-11-2022,18145.40039,18175.80078,18060.15039,18130.69922,349900
02-11-2022,18082.84961,18178.75,18048.65039,18177.90039,270900
03-11-2022,18052.69922,18106.30078,17959.19922,17968.34961,213000
04-11-2022,18117.15039,18135.09961,18017.15039,18053.40039,267900
07-11-2022,18202.80078,18255.5,18064.75,18211.75,314800
09-11-2022,18157,18296.40039,18117.5,18288.25,307200
10-11-2022,18028.19922,18103.09961,17969.40039,18044.34961,256500
11-11-2022,18349.69922,18362.30078,18259.34961,18272.34961,378500
14-11-2022,18329.15039,18399.44922,18311.40039,18376.40039,301400
15-11-2022,18403.40039,18427.94922,18282,18362.75,250900
16-11-2022,18409.65039,18442.15039,18344.15039,18398.25,219300
17-11-2022,18343.90039,18417.59961,18312.94922,18358.69922,200500
18-11-2022,18307.65039,18394.59961,18209.80078,18382.94922,198800
21-11-2022,18159.94922,18262.30078,18133.34961,18246.40039,213800
22-11-2022,18244.19922,18261.84961,18137.69922,18179.15039,177700
23-11-2022,18267.25,18325.40039,18246,18325.19922,178800
24-11-2022,18484.09961,18529.69922,18294.25,18326.09961,204000
25-11-2022,18512.75,18534.90039,18445.09961,18528.44922,205900
28-11-2022,18562.75,18614.25,18365.59961,18430.55078,206500
29-11-2022,18618.05078,18678.09961,18552.15039,18552.44922,195300
30-11-2022,18758.34961,18816.05078,18616.55078,18625.69922,345600
01-12-2022,18812.5,18887.59961,18778.19922,18871.94922,325000
02-12-2022,18696.09961,18781.94922,18639.19922,18752.40039,254400
05-12-2022,18701.05078,18728.59961,18591.34961,18719.55078,288400
06-12-2022,18642.75,18654.90039,18577.90039,18600.65039,217800
07-12-2022,18560.5,18668.30078,18528.40039,18638.84961,200500
08-12-2022,18609.34961,18625,18536.94922,18570.84961,202800
09-12-2022,18496.59961,18664.69922,18410.09961,18662.40039,215800
12-12-2022,18497.15039,18521.55078,18345.69922,18402.15039,193900
13-12-2022,18608,18617.25,18490.19922,18524.40039,187600
14-12-2022,18660.30078,18696.09961,18632.90039,18671.25,208000
15-12-2022,18414.90039,18652.90039,18387.69922,18614.40039,183100
16-12-2022,18269,18440.94922,18255.15039,18319.09961,277700
19-12-2022,18420.44922,18431.65039,18244.55078,18288.09961,154800
20-12-2022,18385.30078,18404.90039,18202.65039,18340.30078,169000
21-12-2022,18199.09961,18473.34961,18162.75,18435.15039,187600
22-12-2022,18127.34961,18318.75,18068.59961,18288.80078,195700
23-12-2022,17806.80078,18050.44922,17779.5,17977.65039,221500
26-12-2022,18014.59961,18084.09961,17774.25,17830.40039,176700
27-12-2022,18132.30078,18149.25,17967.44922,18089.80078,214300
28-12-2022,18122.5,18173.09961,18068.34961,18084.75,193900
29-12-2022,18191,18229.69922,17992.80078,18045.69922,281100
30-12-2022,18105.30078,18265.25,18080.30078,18259.09961,192000
02-01-2023,18197.44922,18215.15039,18086.5,18131.69922,256100
03-01-2023,18232.55078,18251.94922,18149.80078,18163.19922,208700
04-01-2023,18042.94922,18243,18020.59961,18230.65039,235200
05-01-2023,17992.15039,18120.30078,17892.59961,18101.94922,269900
06-01-2023,17859.44922,18047.40039,17795.55078,18008.05078,238200
09-01-2023,18101.19922,18141.40039,17936.15039,17952.55078,257200
10-01-2023,17914.15039,18127.59961,17856,18121.30078,283300
11-01-2023,17895.69922,17976.34961,17824.34961,17924.25,259900
12-01-2023,17858.19922,17945.80078,17761.65039,17920.84961,227800
13-01-2023,17956.59961,17999.34961,17774.25,17867.5,256700
16-01-2023,17894.84961,18049.65039,17853.65039,18033.15039,206200
17-01-2023,18053.30078,18072.05078,17886.94922,17922.80078,219100
18-01-2023,18165.34961,18183.75,18032.44922,18074.30078,255800
19-01-2023,18107.84961,18155.19922,18063.75,18119.80078,237800
20-01-2023,18027.65039,18145.44922,18016.19922,18115.59961,237200
23-01-2023,18118.55078,18162.59961,18063.44922,18118.44922,202500
24-01-2023,18118.30078,18201.25,18078.65039,18183.94922,216900
25-01-2023,17891.94922,18100.59961,17846.15039,18093.34961,257200
27-01-2023,17604.34961,17884.75,17493.55078,17877.19922,476300
30-01-2023,17648.94922,17709.15039,17405.55078,17541.94922,432400
31-01-2023,17662.15039,17735.69922,17537.55078,17731.44922,398300
01-02-2023,17616.30078,17972.19922,17353.40039,17811.59961,512900
02-02-2023,17610.40039,17653.90039,17445.94922,17517.09961,490100
03-02-2023,17854.05078,17870.30078,17584.19922,17721.75,424100
06-02-2023,17764.59961,17823.69922,17698.34961,17818.55078,282500
07-02-2023,17721.5,17811.15039,17652.55078,17790.09961,354400
08-02-2023,17871.69922,17898.69922,17744.15039,17750.30078,291000
09-02-2023,17893.44922,17916.90039,17779.80078,17885.5,260900
10-02-2023,17856.5,17876.94922,17801,17847.55078,232000
13-02-2023,17770.90039,17880.69922,17719.75,17859.09961,231300
14-02-2023,17929.84961,17954.55078,17800.05078,17840.34961,244500
15-02-2023,18015.84961,18034.09961,17853.80078,17896.59961,229300
16-02-2023,18035.84961,18134.75,18000.65039,18094.75,230200
17-02-2023,17944.19922,18034.25,17884.59961,17974.84961,208100
20-02-2023,17844.59961,18004.34961,17818.40039,17965.55078,174600
21-02-2023,17826.69922,17924.90039,17800.30078,17905.80078,198200
22-02-2023,17554.30078,17772.5,17529.44922,17755.34961,204000
23-02-2023,17511.25,17620.05078,17455.40039,17574.65039,240800
24-02-2023,17465.80078,17599.75,17421.80078,17591.34961,209400
27-02-2023,17392.69922,17451.59961,17299,17428.59961,246400
28-02-2023,17303.94922,17440.44922,17255.19922,17383.25,420900
01-03-2023,17450.90039,17467.75,17345.25,17360.09961,272900
02-03-2023,17321.90039,17445.80078,17306,17421.5,310700
03-03-2023,17594.34961,17644.75,17427.69922,17451.25,356200
06-03-2023,17711.44922,17799.94922,17671.94922,17680.34961,362800
08-03-2023,17754.40039,17766.5,17602.25,17665.75,267000
09-03-2023,17589.59961,17772.34961,17573.59961,17772.05078,262400
10-03-2023,17412.90039,17451.5,17324.34961,17443.80078,235900
13-03-2023,17154.30078,17529.90039,17113.44922,17421.90039,254900
14-03-2023,17043.30078,17224.65039,16987.09961,17160.55078,290600
15-03-2023,16972.15039,17211.34961,16938.90039,17166.44922,248200
16-03-2023,16985.59961,17062.44922,16850.15039,16994.65039,349800
17-03-2023,17100.05078,17145.80078,16958.15039,17111.80078,408100
20-03-2023,16988.40039,17066.59961,16828.34961,17066.59961,241800
21-03-2023,17107.5,17127.69922,17016,17060.40039,246700
22-03-2023,17151.90039,17207.25,17107.84961,17177.44922,0
23-03-2023,17076.90039,17205.40039,17045.30078,17097.40039,219200
24-03-2023,16945.05078,17109.44922,16917.34961,17076.19922,228000
27-03-2023,16985.69922,17091,16918.55078,16984.30078,218400
28-03-2023,16951.69922,17061.75,16913.75,17031.75,238800
29-03-2023,17080.69922,17126.15039,16940.59961,16977.30078,345900
31-03-2023,17359.75,17381.59961,17204.65039,17210.34961,263900
03-04-2023,17398.05078,17428.05078,17312.75,17427.94922,230200
05-04-2023,17557.05078,17570.55078,17402.69922,17422.30078,248300
06-04-2023,17599.15039,17638.69922,17502.84961,17533.84961,242700
10-04-2023,17624.05078,17694.09961,17597.94922,17634.90039,254800
11-04-2023,17722.30078,17748.75,17655.15039,17704.80078,304300
12-04-2023,17812.40039,17825.75,17717.25,17759.55078,232800
13-04-2023,17828,17842.15039,17729.65039,17807.30078,285800
17-04-2023,17706.84961,17863,17574.05078,17863,357400
18-04-2023,17660.15039,17766.59961,17610.19922,17766.59961,258900
19-04-2023,17618.75,17666.15039,17579.84961,17653.34961,281500
20-04-2023,17624.44922,17684.44922,17584.34961,17638.59961,215100
21-04-2023,17624.05078,17663.19922,17553.94922,17639.75,230200
24-04-2023,17743.40039,17754.5,17612.5,17707.55078,255700
25-04-2023,17769.25,17807.44922,17716.84961,17761.55078,297400
26-04-2023,17813.59961,17827.75,17711.19922,17767.30078,233000
27-04-2023,17915.05078,17931.59961,17797.90039,17813.09961,241400
28-04-2023,18065,18089.15039,17885.30078,17950.40039,290300
02-05-2023,18147.65039,18180.25,18101.75,18124.80078,265200
03-05-2023,18089.84961,18116.34961,18042.40039,18113.80078,226200
04-05-2023,18255.80078,18267.44922,18066.69922,18081,226600
05-05-2023,18069,18216.94922,18055.44922,18117.30078,239700
08-05-2023,18264.40039,18286.94922,18100.30078,18120.59961,228400
09-05-2023,18265.94922,18344.19922,18229.65039,18303.40039,245400
10-05-2023,18315.09961,18326.75,18211.94922,18313.59961,220500
11-05-2023,18297,18389.69922,18270.40039,18357.80078,248900
12-05-2023,18314.80078,18342.75,18194.55078,18273.75,241700
15-05-2023,18398.84961,18458.90039,18287.90039,18339.30078,216100
16-05-2023,18286.5,18432.34961,18264.34961,18432.34961,219500
17-05-2023,18181.75,18309,18115.34961,18300.44922,229900
18-05-2023,18129.94922,18297.19922,18104.84961,18287.5,272100
19-05-2023,18203.40039,18218.09961,18060.40039,18186.15039,260900
22-05-2023,18314.40039,18335.25,18178.84961,18201.09961,262600
23-05-2023,18348,18419.75,18324.19922,18362.90039,270400
24-05-2023,18285.40039,18392.59961,18262.94922,18294.80078,232600
25-05-2023,18321.15039,18338.09961,18202.40039,18268.90039,235900
26-05-2023,18499.34961,18508.55078,18333.15039,18368.34961,198700
29-05-2023,18598.65039,18641.19922,18581.25,18619.15039,265300
30-05-2023,18633.84961,18662.44922,18575.5,18606.65039,234400
31-05-2023,18534.40039,18603.90039,18483.84961,18594.19922,696500
01-06-2023,18487.75,18580.30078,18464.55078,18579.40039,265600
02-06-2023,18534.09961,18573.69922,18478.40039,18550.84961,270900
05-06-2023,18593.84961,18640.15039,18582.80078,18612,256100
06-06-2023,18599,18622.75,18531.59961,18600.80078,220800
07-06-2023,18726.40039,18738.94922,18636,18665.59961,260100
08-06-2023,18634.55078,18777.90039,18615.59961,18725.34961,286500
09-06-2023,18563.40039,18676.65039,18555.40039,18655.90039,221800
12-06-2023,18601.5,18633.59961,18559.75,18595.05078,179500
13-06-2023,18716.15039,18728.90039,18631.80078,18631.80078,233200
14-06-2023,18755.90039,18769.69922,18690,18744.59961,261400
15-06-2023,18688.09961,18794.09961,18669.05078,18774.44922,263000
16-06-2023,18826,18864.69922,18710.5,18723.30078,272800
19-06-2023,18755.44922,18881.44922,18719.15039,18873.30078,219800
20-06-2023,18816.69922,18839.69922,18660.65039,18752.34961,211600
21-06-2023,18856.84961,18875.90039,18794.84961,18849.40039,217500
22-06-2023,18771.25,18886.59961,18759.5,18853.59961,252700
23-06-2023,18665.5,18756.40039,18647.09961,18741.84961,210600
26-06-2023,18691.19922,18722.05078,18646.69922,18682.34961,171300
27-06-2023,18817.40039,18829.25,18714.25,18748.55078,222500
